
Token Cruncher Benchmark Results:

| ZhiWen File   | Equivalent File   |   ZhiWen Tokens |   Equivalent Tokens | Reduction   |
| sim_0598.zw   | sim_0598.json     |             242 |                 213 | -13.62%     |
| sim_0169.zw   | sim_0169.json     |             266 |                 228 | -16.67%     |
| sim_0241.zw   | sim_0241.json     |             267 |                 230 | -16.09%     |
| sim_0794.zw   | sim_0794.json     |             291 |                 247 | -17.81%     |
| sim_0202.zw   | sim_0202.json     |             260 |                 218 | -19.27%     |
| sim_0843.zw   | sim_0843.json     |             264 |                 236 | -11.86%     |
| sim_0236.zw   | sim_0236.json     |             265 |                 236 | -12.29%     |
| sim_0363.zw   | sim_0363.json     |             277 |                 237 | -16.88%     |
| sim_0335.zw   | sim_0335.json     |             258 |                 230 | -12.17%     |
| sim_0990.zw   | sim_0990.json     |             273 |                 227 | -20.26%     |
| sim_0702.zw   | sim_0702.json     |             285 |                 242 | -17.77%     |
| sim_0408.zw   | sim_0408.json     |             271 |                 246 | -10.16%     |
| sim_0595.zw   | sim_0595.json     |             264 |                 225 | -17.33%     |
| sim_0354.zw   | sim_0354.json     |             272 |                 234 | -16.24%     |
| sim_0521.zw   | sim_0521.json     |             272 |                 223 | -21.97%     |
| sim_0442.zw   | sim_0442.json     |             264 |                 233 | -13.30%     |
| sim_0914.zw   | sim_0914.json     |             268 |                 234 | -14.53%     |
| sim_0871.zw   | sim_0871.json     |             278 |                 238 | -16.81%     |
| sim_0285.zw   | sim_0285.json     |             290 |                 248 | -16.94%     |
| sim_0838.zw   | sim_0838.json     |             270 |                 241 | -12.03%     |
| sim_0541.zw   | sim_0541.json     |             252 |                 227 | -11.01%     |
| sim_0360.zw   | sim_0360.json     |             257 |                 229 | -12.23%     |
| sim_0279.zw   | sim_0279.json     |             274 |                 237 | -15.61%     |
| sim_0637.zw   | sim_0637.json     |             256 |                 232 | -10.34%     |
| sim_0653.zw   | sim_0653.json     |             255 |                 226 | -12.83%     |
| sim_0214.zw   | sim_0214.json     |             290 |                 257 | -12.84%     |
| sim_0448.zw   | sim_0448.json     |             266 |                 231 | -15.15%     |
| sim_0048.zw   | sim_0048.json     |             277 |                 243 | -13.99%     |
| sim_0562.zw   | sim_0562.json     |             243 |                 228 | -6.58%      |
| sim_0797.zw   | sim_0797.json     |             264 |                 220 | -20.00%     |
| sim_0592.zw   | sim_0592.json     |             273 |                 228 | -19.74%     |
| sim_0953.zw   | sim_0953.json     |             270 |                 230 | -17.39%     |
| sim_0852.zw   | sim_0852.json     |             282 |                 227 | -24.23%     |
| sim_0342.zw   | sim_0342.json     |             259 |                 226 | -14.60%     |
| sim_0684.zw   | sim_0684.json     |             279 |                 241 | -15.77%     |
| sim_0560.zw   | sim_0560.json     |             266 |                 228 | -16.67%     |
| sim_0198.zw   | sim_0198.json     |             251 |                 230 | -9.13%      |
| sim_0981.zw   | sim_0981.json     |             243 |                 209 | -16.27%     |
| sim_0211.zw   | sim_0211.json     |             288 |                 249 | -15.66%     |
| sim_0161.zw   | sim_0161.json     |             272 |                 244 | -11.48%     |
| sim_0762.zw   | sim_0762.json     |             280 |                 245 | -14.29%     |
| sim_0568.zw   | sim_0568.json     |             265 |                 238 | -11.34%     |
| sim_0957.zw   | sim_0957.json     |             262 |                 220 | -19.09%     |
| sim_0641.zw   | sim_0641.json     |             267 |                 237 | -12.66%     |
| sim_0300.zw   | sim_0300.json     |             282 |                 236 | -19.49%     |
| sim_0128.zw   | sim_0128.json     |             291 |                 253 | -15.02%     |
| sim_0783.zw   | sim_0783.json     |             255 |                 210 | -21.43%     |
| sim_0346.zw   | sim_0346.json     |             253 |                 230 | -10.00%     |
| sim_0732.zw   | sim_0732.json     |             264 |                 230 | -14.78%     |
| sim_0841.zw   | sim_0841.json     |             273 |                 226 | -20.80%     |
| sim_0094.zw   | sim_0094.json     |             267 |                 236 | -13.14%     |
| sim_0623.zw   | sim_0623.json     |             267 |                 224 | -19.20%     |
| sim_0905.zw   | sim_0905.json     |             273 |                 229 | -19.21%     |
| sim_0884.zw   | sim_0884.json     |             281 |                 241 | -16.60%     |
| sim_0155.zw   | sim_0155.json     |             271 |                 239 | -13.39%     |
| sim_0935.zw   | sim_0935.json     |             281 |                 251 | -11.95%     |
| sim_0055.zw   | sim_0055.json     |             277 |                 246 | -12.60%     |
| sim_0726.zw   | sim_0726.json     |             256 |                 224 | -14.29%     |
| sim_0371.zw   | sim_0371.json     |             271 |                 234 | -15.81%     |
| sim_0673.zw   | sim_0673.json     |             242 |                 230 | -5.22%      |
| sim_0561.zw   | sim_0561.json     |             275 |                 231 | -19.05%     |
| sim_0750.zw   | sim_0750.json     |             281 |                 234 | -20.09%     |
| sim_0855.zw   | sim_0855.json     |             274 |                 227 | -20.70%     |
| sim_0722.zw   | sim_0722.json     |             261 |                 221 | -18.10%     |
| sim_0013.zw   | sim_0013.json     |             258 |                 228 | -13.16%     |
| sim_0741.zw   | sim_0741.json     |             271 |                 231 | -17.32%     |
| sim_0665.zw   | sim_0665.json     |             239 |                 219 | -9.13%      |
| sim_0872.zw   | sim_0872.json     |             249 |                 222 | -12.16%     |
| sim_0697.zw   | sim_0697.json     |             261 |                 235 | -11.06%     |
| sim_0861.zw   | sim_0861.json     |             264 |                 233 | -13.30%     |
| sim_0033.zw   | sim_0033.json     |             254 |                 220 | -15.45%     |
| sim_0965.zw   | sim_0965.json     |             260 |                 223 | -16.59%     |
| sim_0489.zw   | sim_0489.json     |             268 |                 240 | -11.67%     |
| sim_0151.zw   | sim_0151.json     |             289 |                 254 | -13.78%     |
| sim_0148.zw   | sim_0148.json     |             244 |                 211 | -15.64%     |
| sim_0532.zw   | sim_0532.json     |             277 |                 242 | -14.46%     |
| sim_0717.zw   | sim_0717.json     |             282 |                 234 | -20.51%     |
| sim_0479.zw   | sim_0479.json     |             272 |                 234 | -16.24%     |
| sim_0786.zw   | sim_0786.json     |             270 |                 221 | -22.17%     |
| sim_0233.zw   | sim_0233.json     |             272 |                 241 | -12.86%     |
| sim_0203.zw   | sim_0203.json     |             247 |                 215 | -14.88%     |
| sim_0185.zw   | sim_0185.json     |             267 |                 230 | -16.09%     |
| sim_0407.zw   | sim_0407.json     |             285 |                 245 | -16.33%     |
| sim_0867.zw   | sim_0867.json     |             245 |                 225 | -8.89%      |
| sim_0863.zw   | sim_0863.json     |             288 |                 233 | -23.61%     |
| sim_0470.zw   | sim_0470.json     |             264 |                 239 | -10.46%     |
| sim_0095.zw   | sim_0095.json     |             271 |                 235 | -15.32%     |
| sim_0818.zw   | sim_0818.json     |             251 |                 222 | -13.06%     |
| sim_0859.zw   | sim_0859.json     |             273 |                 247 | -10.53%     |
| sim_0201.zw   | sim_0201.json     |             255 |                 219 | -16.44%     |
| sim_0437.zw   | sim_0437.json     |             251 |                 216 | -16.20%     |
| sim_0476.zw   | sim_0476.json     |             273 |                 229 | -19.21%     |
| sim_0916.zw   | sim_0916.json     |             299 |                 258 | -15.89%     |
| sim_0790.zw   | sim_0790.json     |             255 |                 230 | -10.87%     |
| sim_0136.zw   | sim_0136.json     |             270 |                 224 | -20.54%     |
| sim_0913.zw   | sim_0913.json     |             279 |                 251 | -11.16%     |
| sim_0270.zw   | sim_0270.json     |             261 |                 227 | -14.98%     |
| sim_0102.zw   | sim_0102.json     |             257 |                 223 | -15.25%     |
| sim_0457.zw   | sim_0457.json     |             271 |                 244 | -11.07%     |
| sim_0458.zw   | sim_0458.json     |             242 |                 211 | -14.69%     |
| sim_0305.zw   | sim_0305.json     |             283 |                 242 | -16.94%     |
| sim_0978.zw   | sim_0978.json     |             285 |                 252 | -13.10%     |
| sim_0869.zw   | sim_0869.json     |             281 |                 237 | -18.57%     |
| sim_0154.zw   | sim_0154.json     |             231 |                 214 | -7.94%      |
| sim_0394.zw   | sim_0394.json     |             235 |                 213 | -10.33%     |
| sim_0275.zw   | sim_0275.json     |             259 |                 228 | -13.60%     |
| sim_0312.zw   | sim_0312.json     |             260 |                 229 | -13.54%     |
| sim_0836.zw   | sim_0836.json     |             263 |                 220 | -19.55%     |
| sim_0490.zw   | sim_0490.json     |             257 |                 215 | -19.53%     |
| sim_0510.zw   | sim_0510.json     |             251 |                 223 | -12.56%     |
| sim_0091.zw   | sim_0091.json     |             281 |                 242 | -16.12%     |
| sim_0315.zw   | sim_0315.json     |             289 |                 246 | -17.48%     |
| sim_0197.zw   | sim_0197.json     |             260 |                 227 | -14.54%     |
| sim_0540.zw   | sim_0540.json     |             285 |                 238 | -19.75%     |
| sim_0708.zw   | sim_0708.json     |             254 |                 215 | -18.14%     |
| sim_0493.zw   | sim_0493.json     |             290 |                 252 | -15.08%     |
| sim_0322.zw   | sim_0322.json     |             241 |                 215 | -12.09%     |
| sim_0266.zw   | sim_0266.json     |             254 |                 218 | -16.51%     |
| sim_0649.zw   | sim_0649.json     |             241 |                 212 | -13.68%     |
| sim_0085.zw   | sim_0085.json     |             258 |                 230 | -12.17%     |
| sim_0751.zw   | sim_0751.json     |             251 |                 228 | -10.09%     |
| sim_0952.zw   | sim_0952.json     |             283 |                 247 | -14.57%     |
| sim_0098.zw   | sim_0098.json     |             287 |                 242 | -18.60%     |
| sim_0918.zw   | sim_0918.json     |             255 |                 217 | -17.51%     |
| sim_0277.zw   | sim_0277.json     |             277 |                 239 | -15.90%     |
| sim_0474.zw   | sim_0474.json     |             261 |                 229 | -13.97%     |
| sim_0345.zw   | sim_0345.json     |             265 |                 240 | -10.42%     |
| sim_0974.zw   | sim_0974.json     |             243 |                 203 | -19.70%     |
| sim_0737.zw   | sim_0737.json     |             284 |                 244 | -16.39%     |
| sim_0535.zw   | sim_0535.json     |             271 |                 227 | -19.38%     |
| sim_0876.zw   | sim_0876.json     |             268 |                 239 | -12.13%     |
| sim_0124.zw   | sim_0124.json     |             271 |                 217 | -24.88%     |
| sim_0606.zw   | sim_0606.json     |             243 |                 217 | -11.98%     |
| sim_0651.zw   | sim_0651.json     |             270 |                 243 | -11.11%     |
| sim_0382.zw   | sim_0382.json     |             259 |                 221 | -17.19%     |
| sim_0186.zw   | sim_0186.json     |             282 |                 244 | -15.57%     |
| sim_0679.zw   | sim_0679.json     |             261 |                 222 | -17.57%     |
| sim_0009.zw   | sim_0009.json     |             248 |                 225 | -10.22%     |
| sim_0661.zw   | sim_0661.json     |             272 |                 235 | -15.74%     |
| sim_0647.zw   | sim_0647.json     |             268 |                 229 | -17.03%     |
| sim_0027.zw   | sim_0027.json     |             272 |                 221 | -23.08%     |
| sim_0646.zw   | sim_0646.json     |             270 |                 239 | -12.97%     |
| sim_0823.zw   | sim_0823.json     |             272 |                 243 | -11.93%     |
| sim_0222.zw   | sim_0222.json     |             302 |                 254 | -18.90%     |
| sim_0245.zw   | sim_0245.json     |             271 |                 246 | -10.16%     |
| sim_0507.zw   | sim_0507.json     |             274 |                 257 | -6.61%      |
| sim_0660.zw   | sim_0660.json     |             253 |                 217 | -16.59%     |
| sim_0812.zw   | sim_0812.json     |             277 |                 241 | -14.94%     |
| sim_0924.zw   | sim_0924.json     |             235 |                 210 | -11.90%     |
| sim_0022.zw   | sim_0022.json     |             265 |                 225 | -17.78%     |
| sim_0749.zw   | sim_0749.json     |             264 |                 224 | -17.86%     |
| sim_0520.zw   | sim_0520.json     |             273 |                 234 | -16.67%     |
| sim_0425.zw   | sim_0425.json     |             273 |                 239 | -14.23%     |
| sim_0024.zw   | sim_0024.json     |             277 |                 231 | -19.91%     |
| sim_0160.zw   | sim_0160.json     |             274 |                 224 | -22.32%     |
| sim_0555.zw   | sim_0555.json     |             273 |                 226 | -20.80%     |
| sim_0454.zw   | sim_0454.json     |             281 |                 245 | -14.69%     |
| sim_0670.zw   | sim_0670.json     |             250 |                 222 | -12.61%     |
| sim_0677.zw   | sim_0677.json     |             271 |                 239 | -13.39%     |
| sim_0963.zw   | sim_0963.json     |             258 |                 223 | -15.70%     |
| sim_0436.zw   | sim_0436.json     |             250 |                 217 | -15.21%     |
| sim_0054.zw   | sim_0054.json     |             274 |                 234 | -17.09%     |
| sim_0573.zw   | sim_0573.json     |             252 |                 216 | -16.67%     |
| sim_0384.zw   | sim_0384.json     |             266 |                 224 | -18.75%     |
| sim_0721.zw   | sim_0721.json     |             260 |                 232 | -12.07%     |
| sim_0706.zw   | sim_0706.json     |             277 |                 231 | -19.91%     |
| sim_0402.zw   | sim_0402.json     |             282 |                 251 | -12.35%     |
| sim_0308.zw   | sim_0308.json     |             257 |                 241 | -6.64%      |
| sim_0548.zw   | sim_0548.json     |             271 |                 236 | -14.83%     |
| sim_0097.zw   | sim_0097.json     |             243 |                 213 | -14.08%     |
| sim_0423.zw   | sim_0423.json     |             270 |                 240 | -12.50%     |
| sim_0696.zw   | sim_0696.json     |             246 |                 222 | -10.81%     |
| sim_0005.zw   | sim_0005.json     |             262 |                 226 | -15.93%     |
| sim_0609.zw   | sim_0609.json     |             263 |                 233 | -12.88%     |
| sim_0744.zw   | sim_0744.json     |             261 |                 230 | -13.48%     |
| sim_0257.zw   | sim_0257.json     |             278 |                 235 | -18.30%     |
| sim_0868.zw   | sim_0868.json     |             254 |                 228 | -11.40%     |
| sim_0191.zw   | sim_0191.json     |             238 |                 214 | -11.21%     |
| sim_0242.zw   | sim_0242.json     |             268 |                 229 | -17.03%     |
| sim_0438.zw   | sim_0438.json     |             263 |                 234 | -12.39%     |
| sim_0519.zw   | sim_0519.json     |             256 |                 220 | -16.36%     |
| sim_0734.zw   | sim_0734.json     |             268 |                 242 | -10.74%     |
| sim_0837.zw   | sim_0837.json     |             272 |                 234 | -16.24%     |
| sim_0328.zw   | sim_0328.json     |             241 |                 218 | -10.55%     |
| sim_0224.zw   | sim_0224.json     |             283 |                 243 | -16.46%     |
| sim_0467.zw   | sim_0467.json     |             257 |                 224 | -14.73%     |
| sim_0390.zw   | sim_0390.json     |             285 |                 248 | -14.92%     |
| sim_0210.zw   | sim_0210.json     |             287 |                 246 | -16.67%     |
| sim_0601.zw   | sim_0601.json     |             269 |                 240 | -12.08%     |
| sim_0221.zw   | sim_0221.json     |             261 |                 233 | -12.02%     |
| sim_0071.zw   | sim_0071.json     |             289 |                 240 | -20.42%     |
| sim_0347.zw   | sim_0347.json     |             274 |                 247 | -10.93%     |
| sim_0007.zw   | sim_0007.json     |             268 |                 244 | -9.84%      |
| sim_0259.zw   | sim_0259.json     |             242 |                 217 | -11.52%     |
| sim_0880.zw   | sim_0880.json     |             284 |                 247 | -14.98%     |
| sim_0170.zw   | sim_0170.json     |             238 |                 215 | -10.70%     |
| sim_0992.zw   | sim_0992.json     |             266 |                 235 | -13.19%     |
| sim_0261.zw   | sim_0261.json     |             240 |                 214 | -12.15%     |
| sim_0262.zw   | sim_0262.json     |             280 |                 234 | -19.66%     |
| sim_0508.zw   | sim_0508.json     |             252 |                 229 | -10.04%     |
| sim_0323.zw   | sim_0323.json     |             258 |                 238 | -8.40%      |
| sim_0138.zw   | sim_0138.json     |             274 |                 230 | -19.13%     |
| sim_0629.zw   | sim_0629.json     |             249 |                 212 | -17.45%     |
| sim_0047.zw   | sim_0047.json     |             276 |                 240 | -15.00%     |
| sim_0414.zw   | sim_0414.json     |             280 |                 238 | -17.65%     |
| sim_0664.zw   | sim_0664.json     |             241 |                 225 | -7.11%      |
| sim_0962.zw   | sim_0962.json     |             293 |                 244 | -20.08%     |
| sim_0104.zw   | sim_0104.json     |             277 |                 236 | -17.37%     |
| sim_0533.zw   | sim_0533.json     |             254 |                 233 | -9.01%      |
| sim_0614.zw   | sim_0614.json     |             262 |                 224 | -16.96%     |
| sim_0497.zw   | sim_0497.json     |             250 |                 215 | -16.28%     |
| sim_0238.zw   | sim_0238.json     |             273 |                 223 | -22.42%     |
| sim_0159.zw   | sim_0159.json     |             274 |                 250 | -9.60%      |
| sim_0352.zw   | sim_0352.json     |             251 |                 222 | -13.06%     |
| sim_0917.zw   | sim_0917.json     |             267 |                 229 | -16.59%     |
| sim_0026.zw   | sim_0026.json     |             248 |                 218 | -13.76%     |
| sim_0418.zw   | sim_0418.json     |             257 |                 222 | -15.77%     |
| sim_0777.zw   | sim_0777.json     |             276 |                 240 | -15.00%     |
| sim_0757.zw   | sim_0757.json     |             255 |                 216 | -18.06%     |
| sim_0820.zw   | sim_0820.json     |             256 |                 223 | -14.80%     |
| sim_0140.zw   | sim_0140.json     |             269 |                 238 | -13.03%     |
| sim_0505.zw   | sim_0505.json     |             224 |                 211 | -6.16%      |
| sim_0911.zw   | sim_0911.json     |             262 |                 227 | -15.42%     |
| sim_0588.zw   | sim_0588.json     |             296 |                 244 | -21.31%     |
| sim_0388.zw   | sim_0388.json     |             267 |                 238 | -12.18%     |
| sim_0767.zw   | sim_0767.json     |             258 |                 224 | -15.18%     |
| sim_0225.zw   | sim_0225.json     |             274 |                 246 | -11.38%     |
| sim_0406.zw   | sim_0406.json     |             294 |                 251 | -17.13%     |
| sim_0958.zw   | sim_0958.json     |             267 |                 245 | -8.98%      |
| sim_0337.zw   | sim_0337.json     |             240 |                 210 | -14.29%     |
| sim_0851.zw   | sim_0851.json     |             272 |                 243 | -11.93%     |
| sim_0879.zw   | sim_0879.json     |             256 |                 227 | -12.78%     |
| sim_0652.zw   | sim_0652.json     |             260 |                 215 | -20.93%     |
| sim_0177.zw   | sim_0177.json     |             245 |                 215 | -13.95%     |
| sim_0694.zw   | sim_0694.json     |             263 |                 228 | -15.35%     |
| sim_0897.zw   | sim_0897.json     |             240 |                 219 | -9.59%      |
| sim_0834.zw   | sim_0834.json     |             238 |                 214 | -11.21%     |
| sim_0701.zw   | sim_0701.json     |             263 |                 227 | -15.86%     |
| sim_0426.zw   | sim_0426.json     |             265 |                 216 | -22.69%     |
| sim_0886.zw   | sim_0886.json     |             255 |                 225 | -13.33%     |
| sim_0199.zw   | sim_0199.json     |             244 |                 227 | -7.49%      |
| sim_0768.zw   | sim_0768.json     |             254 |                 225 | -12.89%     |
| sim_0215.zw   | sim_0215.json     |             278 |                 245 | -13.47%     |
| sim_0993.zw   | sim_0993.json     |             280 |                 251 | -11.55%     |
| sim_0605.zw   | sim_0605.json     |             261 |                 233 | -12.02%     |
| sim_0063.zw   | sim_0063.json     |             283 |                 242 | -16.94%     |
| sim_0785.zw   | sim_0785.json     |             255 |                 225 | -13.33%     |
| sim_0686.zw   | sim_0686.json     |             245 |                 211 | -16.11%     |
| sim_0459.zw   | sim_0459.json     |             256 |                 227 | -12.78%     |
| sim_0409.zw   | sim_0409.json     |             248 |                 212 | -16.98%     |
| sim_0668.zw   | sim_0668.json     |             271 |                 238 | -13.87%     |
| sim_0959.zw   | sim_0959.json     |             237 |                 213 | -11.27%     |
| sim_0630.zw   | sim_0630.json     |             265 |                 230 | -15.22%     |
| sim_0031.zw   | sim_0031.json     |             253 |                 223 | -13.45%     |
| sim_0121.zw   | sim_0121.json     |             261 |                 215 | -21.40%     |
| sim_0234.zw   | sim_0234.json     |             249 |                 219 | -13.70%     |
| sim_0133.zw   | sim_0133.json     |             265 |                 237 | -11.81%     |
| sim_0982.zw   | sim_0982.json     |             277 |                 235 | -17.87%     |
| sim_0465.zw   | sim_0465.json     |             274 |                 232 | -18.10%     |
| sim_0572.zw   | sim_0572.json     |             245 |                 224 | -9.38%      |
| sim_0193.zw   | sim_0193.json     |             274 |                 247 | -10.93%     |
| sim_0112.zw   | sim_0112.json     |             254 |                 232 | -9.48%      |
| sim_0362.zw   | sim_0362.json     |             274 |                 235 | -16.60%     |
| sim_0368.zw   | sim_0368.json     |             284 |                 248 | -14.52%     |
| sim_0248.zw   | sim_0248.json     |             272 |                 234 | -16.24%     |
| sim_0775.zw   | sim_0775.json     |             261 |                 236 | -10.59%     |
| sim_0784.zw   | sim_0784.json     |             279 |                 249 | -12.05%     |
| sim_0146.zw   | sim_0146.json     |             252 |                 209 | -20.57%     |
| sim_0008.zw   | sim_0008.json     |             293 |                 248 | -18.15%     |
| sim_0340.zw   | sim_0340.json     |             250 |                 219 | -14.16%     |
| sim_0178.zw   | sim_0178.json     |             262 |                 227 | -15.42%     |
| sim_0329.zw   | sim_0329.json     |             252 |                 225 | -12.00%     |
| sim_0862.zw   | sim_0862.json     |             288 |                 260 | -10.77%     |
| sim_0190.zw   | sim_0190.json     |             273 |                 243 | -12.35%     |
| sim_0662.zw   | sim_0662.json     |             268 |                 236 | -13.56%     |
| sim_0675.zw   | sim_0675.json     |             279 |                 235 | -18.72%     |
| sim_0278.zw   | sim_0278.json     |             256 |                 227 | -12.78%     |
| sim_0556.zw   | sim_0556.json     |             278 |                 228 | -21.93%     |
| sim_0073.zw   | sim_0073.json     |             288 |                 243 | -18.52%     |
| sim_0309.zw   | sim_0309.json     |             244 |                 219 | -11.42%     |
| sim_0534.zw   | sim_0534.json     |             271 |                 244 | -11.07%     |
| sim_0281.zw   | sim_0281.json     |             271 |                 227 | -19.38%     |
| sim_0466.zw   | sim_0466.json     |             273 |                 232 | -17.67%     |
| sim_0187.zw   | sim_0187.json     |             278 |                 232 | -19.83%     |
| sim_0564.zw   | sim_0564.json     |             263 |                 233 | -12.88%     |
| sim_0060.zw   | sim_0060.json     |             253 |                 228 | -10.96%     |
| sim_0712.zw   | sim_0712.json     |             242 |                 227 | -6.61%      |
| sim_0506.zw   | sim_0506.json     |             251 |                 222 | -13.06%     |
| sim_0513.zw   | sim_0513.json     |             273 |                 229 | -19.21%     |
| sim_0546.zw   | sim_0546.json     |             267 |                 232 | -15.09%     |
| sim_0299.zw   | sim_0299.json     |             272 |                 234 | -16.24%     |
| sim_0280.zw   | sim_0280.json     |             254 |                 225 | -12.89%     |
| sim_0700.zw   | sim_0700.json     |             257 |                 238 | -7.98%      |
| sim_0742.zw   | sim_0742.json     |             261 |                 234 | -11.54%     |
| sim_0119.zw   | sim_0119.json     |             269 |                 223 | -20.63%     |
| sim_0610.zw   | sim_0610.json     |             259 |                 244 | -6.15%      |
| sim_0272.zw   | sim_0272.json     |             266 |                 222 | -19.82%     |
| sim_0446.zw   | sim_0446.json     |             264 |                 228 | -15.79%     |
| sim_0778.zw   | sim_0778.json     |             257 |                 233 | -10.30%     |
| sim_0292.zw   | sim_0292.json     |             254 |                 229 | -10.92%     |
| sim_0666.zw   | sim_0666.json     |             232 |                 226 | -2.65%      |
| sim_0276.zw   | sim_0276.json     |             287 |                 246 | -16.67%     |
| sim_0176.zw   | sim_0176.json     |             267 |                 224 | -19.20%     |
| sim_0672.zw   | sim_0672.json     |             266 |                 231 | -15.15%     |
| sim_0386.zw   | sim_0386.json     |             249 |                 223 | -11.66%     |
| sim_0444.zw   | sim_0444.json     |             261 |                 232 | -12.50%     |
| sim_0639.zw   | sim_0639.json     |             243 |                 216 | -12.50%     |
| sim_0295.zw   | sim_0295.json     |             277 |                 240 | -15.42%     |
| sim_0807.zw   | sim_0807.json     |             251 |                 226 | -11.06%     |
| sim_0985.zw   | sim_0985.json     |             266 |                 233 | -14.16%     |
| sim_0642.zw   | sim_0642.json     |             238 |                 212 | -12.26%     |
| sim_0967.zw   | sim_0967.json     |             288 |                 248 | -16.13%     |
| sim_0002.zw   | sim_0002.json     |             246 |                 223 | -10.31%     |
| sim_0752.zw   | sim_0752.json     |             253 |                 216 | -17.13%     |
| sim_0290.zw   | sim_0290.json     |             270 |                 230 | -17.39%     |
| sim_0804.zw   | sim_0804.json     |             248 |                 215 | -15.35%     |
| sim_0844.zw   | sim_0844.json     |             254 |                 228 | -11.40%     |
| sim_0587.zw   | sim_0587.json     |             250 |                 222 | -12.61%     |
| sim_0228.zw   | sim_0228.json     |             273 |                 241 | -13.28%     |
| sim_0059.zw   | sim_0059.json     |             264 |                 236 | -11.86%     |
| sim_0705.zw   | sim_0705.json     |             270 |                 244 | -10.66%     |
| sim_0966.zw   | sim_0966.json     |             275 |                 235 | -17.02%     |
| sim_0061.zw   | sim_0061.json     |             261 |                 230 | -13.48%     |
| sim_0995.zw   | sim_0995.json     |             268 |                 235 | -14.04%     |
| sim_0782.zw   | sim_0782.json     |             274 |                 232 | -18.10%     |
| sim_0870.zw   | sim_0870.json     |             267 |                 230 | -16.09%     |
| sim_0246.zw   | sim_0246.json     |             270 |                 228 | -18.42%     |
| sim_0551.zw   | sim_0551.json     |             266 |                 231 | -15.15%     |
| sim_0405.zw   | sim_0405.json     |             276 |                 243 | -13.58%     |
| sim_0432.zw   | sim_0432.json     |             273 |                 240 | -13.75%     |
| sim_0333.zw   | sim_0333.json     |             255 |                 224 | -13.84%     |
| sim_0656.zw   | sim_0656.json     |             287 |                 236 | -21.61%     |
| sim_0341.zw   | sim_0341.json     |             248 |                 226 | -9.73%      |
| sim_0938.zw   | sim_0938.json     |             279 |                 243 | -14.81%     |
| sim_0693.zw   | sim_0693.json     |             245 |                 212 | -15.57%     |
| sim_0644.zw   | sim_0644.json     |             284 |                 252 | -12.70%     |
| sim_0057.zw   | sim_0057.json     |             261 |                 223 | -17.04%     |
| sim_0512.zw   | sim_0512.json     |             282 |                 244 | -15.57%     |
| sim_0896.zw   | sim_0896.json     |             281 |                 243 | -15.64%     |
| sim_0828.zw   | sim_0828.json     |             288 |                 246 | -17.07%     |
| sim_0358.zw   | sim_0358.json     |             270 |                 241 | -12.03%     |
| sim_0349.zw   | sim_0349.json     |             265 |                 235 | -12.77%     |
